 
****************************************
Report : power
        -net
        -analysis_effort low
        -include_input_nets
        -sort_mode net_switching_power
Design : inccomp
Version: F-2011.09-SP3
Date   : Tue Apr 21 11:31:25 2020
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mg.lowpower/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
inccomp                5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
syncha[3]                      3.496    0.975    0.0005      0.0011  a
n62                            1.256    0.990    0.0010      0.0008  a
C[5]                           0.310    0.320    0.0040      0.0007  a
rst                            2.010    0.004    0.0005      0.0006  a
n61                            1.256    0.025    0.0005      0.0004  a
C[6]                           0.310    0.320    0.0020      0.0004  a
C[7]                           0.310    0.000    0.0000      0.0000  a
N12                            2.010    0.000    0.0000      0.0000  a
N13                            2.010    0.000    0.0000      0.0000  a
N14                            2.010    0.000    0.0000      0.0000  a
N15                            2.010    0.000    0.0000      0.0000  a
lt_gt_38/B[4]                  3.483    0.000    0.0000      0.0000  d
lt_gt_38/B[5]                  3.489    0.000    0.0000      0.0000  d
lt_gt_38/B[6]                  3.483    0.000    0.0000      0.0000  d
lt_gt_38/B[7]                  5.532    0.000    0.0000      0.0000  d
n48                            1.906    1.000    0.0000      0.0000  a
n57                            1.256    1.000    0.0000      0.0000  a
n58                            1.256    1.000    0.0000      0.0000  a
n59                            1.256    1.000    0.0000      0.0000  a
n60                            1.256    1.000    0.0000      0.0000  a
n90                            6.007    1.000    0.0000      0.0000  a
n95                            5.995    1.000    0.0000      0.0000  a
n97                            6.029    1.000    0.0000      0.0000  a
n99                            6.007    1.000    0.0000      0.0000  a
n119                           1.255    1.000    0.0000      0.0000  a
n120                           1.255    1.000    0.0000      0.0000  a
n121                           1.255    1.000    0.0000      0.0000  a
n122                           1.255    1.000    0.0000      0.0000  a
syncha[4]                      3.496    0.000    0.0000      0.0000  a
syncha[5]                      3.496    0.000    0.0000      0.0000  a
syncha[6]                      3.496    0.000    0.0000      0.0000  a
syncha[7]                      2.721    0.000    0.0000      0.0000  a
--------------------------------------------------------------------------------
Total (138 nets)                                            17.7652 uW
1
